timestamp,x,y,z,rssi_a,rssi_b,rssi_c,rssi_d
2026-06-06T13:54:34,0,3,-1.0,-65,-69,-50,-60
2026-06-06T13:54:36,0,3,-1.0,-65,-69,-50,-60
2026-06-06T13:54:39,0,3,-1.0,-65,-69,-49,-60
2026-06-06T13:54:41,0,3,-1.0,-65,-69,-49,-63
2026-06-06T13:55:28,1,3,-1.0,-52,-69,-43,-63
2026-06-06T13:55:30,1,3,-1.0,-52,-69,-42,-63
2026-06-06T13:55:32,1,3,-1.0,-56,-69,-38,-63
2026-06-06T13:55:35,1,3,-1.0,-57,-69,-42,-63
2026-06-06T13:55:38,1,3,-1.0,-57,-69,-42,-63
2026-06-06T13:55:56,2,3,-1.0,-55,-69,-36,-63
2026-06-06T13:55:58,2,3,-1.0,-55,,-36,-63
2026-06-06T13:56:01,2,3,-1.0,-55,,-51,-63
2026-06-06T13:56:03,2,3,-1.0,-54,,-39,-63
2026-06-06T13:56:06,2,3,-1.0,-54,,-39,-63
2026-06-06T13:56:29,3,3,-1.0,-54,,-39,-63
2026-06-06T13:56:32,3,3,-1.0,-54,,-39,-63
2026-06-06T13:56:34,3,3,-1.0,-54,,-39,-63
2026-06-06T13:56:37,3,3,-1.0,-43,-58,-39,-63
2026-06-06T13:56:40,3,3,-1.0,-43,-58,-54,
2026-06-06T13:57:19,4,3,-1.0,-55,-55,-44,
2026-06-06T13:57:21,4,3,-1.0,-55,-55,-44,
2026-06-06T13:57:24,4,3,-1.0,-55,-55,-44,
2026-06-06T13:57:26,4,3,-1.0,-46,-55,-61,
2026-06-06T13:57:29,4,3,-1.0,-46,-55,-44,
2026-06-06T13:57:47,5,3,-1.0,-46,-55,-44,
2026-06-06T13:57:49,5,3,-1.0,-47,-55,-48,-54
2026-06-06T13:57:52,5,3,-1.0,-47,-49,-45,-47
2026-06-06T13:57:54,5,3,-1.0,-47,-49,-45,-47
2026-06-06T13:57:57,5,3,-1.0,-47,-49,-45,-47
2026-06-06T13:58:06,6,3,-1.0,-47,-49,-45,-47
2026-06-06T13:58:09,6,3,-1.0,-47,-49,-56,-46
2026-06-06T13:58:11,6,3,-1.0,-50,-60,-56,-54
2026-06-06T13:58:14,6,3,-1.0,-50,-60,-52,-45
2026-06-06T13:58:16,6,3,-1.0,-45,-60,-52,-51
2026-06-06T13:58:24,7,3,-1.0,-45,-60,-54,-53
2026-06-06T13:58:26,7,3,-1.0,-45,-60,-54,-53
2026-06-06T13:58:29,7,3,-1.0,-45,-60,-54,-53
2026-06-06T13:58:32,7,3,-1.0,-45,-51,-54,-49
2026-06-06T13:58:34,7,3,-1.0,-45,-51,-54,-49
2026-06-06T13:59:16,0,4,-1.0,-52,-64,-54,-49
2026-06-06T13:59:19,0,4,-1.0,-64,-64,-35,-49
2026-06-06T13:59:21,0,4,-1.0,-52,-64,-35,-49
2026-06-06T13:59:24,0,4,-1.0,-52,-64,-35,-49
2026-06-06T13:59:26,0,4,-1.0,-54,-64,-50,-49
2026-06-06T13:59:45,1,4,-1.0,-54,-64,-51,-62
2026-06-06T13:59:47,1,4,-1.0,-54,-64,-34,-59
2026-06-06T13:59:50,1,4,-1.0,-50,-64,-45,-59
2026-06-06T13:59:52,1,4,-1.0,-50,-64,-45,-59
2026-06-06T13:59:55,1,4,-1.0,-50,-64,-39,-53
2026-06-06T14:00:04,2,4,-1.0,-50,-49,-51,-54
2026-06-06T14:00:06,2,4,-1.0,-50,-49,-51,-54
2026-06-06T14:00:09,2,4,-1.0,-50,-49,-51,-54
2026-06-06T14:00:11,2,4,-1.0,-50,-49,-51,-54
2026-06-06T14:00:14,2,4,-1.0,-50,-49,-42,-52
2026-06-06T14:00:25,3,4,-1.0,-50,-53,-42,-52
2026-06-06T14:00:29,3,4,-1.0,-50,-53,-42,-52
2026-06-06T14:00:31,3,4,-1.0,-50,-53,-42,-52
2026-06-06T14:00:34,3,4,-1.0,-47,-55,-42,-52
2026-06-06T14:00:36,3,4,-1.0,-47,-55,-42,-52
2026-06-06T14:00:46,4,4,-1.0,-58,-55,-52,-52
2026-06-06T14:00:48,4,4,-1.0,-58,-57,-52,-52
2026-06-06T14:00:51,4,4,-1.0,-59,-57,-53,-52
